species,genus,category,source,obesity_signal,shap_importance,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism,safety_risk_class,safety_flags,recommended_action,needs_genome_confirmation,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance,t,prot
Acidaminococcus_intestini,Acidaminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0572,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025144545.1,Complete Genome,Acidaminococcus intestini,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Collinsella_aerofaciens,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0392,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_010509075.1,Complete Genome,Collinsella aerofaciens ATCC 25986,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Prevotella_copri,Prevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0373,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_020735445.1,Complete Genome,Segatella copri DSM 18205,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Coprobacter_fastidiosus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.034,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_030296935.1,Complete Genome,Coprobacter fastidiosus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Ruminococcus_torques,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0241,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_044591705.1,Complete Genome,Mediterraneibacter torques,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,1,0,mucin_interaction,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Bacteroides_vulgatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0205,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_000012825.1,Complete Genome,Phocaeicola vulgatus ATCC 8482,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Dorea_longicatena,Dorea,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0194,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025150085.1,Complete Genome,Dorea longicatena,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Turicimonas_muris,Turicimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0145,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_016696765.1,Chromosome,Turicimonas muris,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Butyricimonas_virosa,Butyricimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0123,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025148635.1,Complete Genome,Butyricimonas virosa,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Bacteroides_uniformis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0122,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_044361425.1,Complete Genome,Bacteroides uniformis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Parabacteroides_johnsonii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0072,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025151045.1,Complete Genome,Parabacteroides johnsonii DSM 18315,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Coprobacter_secundus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0058,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_015097275.1,Complete Genome,Coprobacter secundus subsp. similis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Bacteroides_eggerthii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0043,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025146565.1,Complete Genome,Bacteroides eggerthii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Akkermansia_muciniphila,Akkermansia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0042,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_009731575.1,Complete Genome,Akkermansia muciniphila,moderate_lbp_precedent,,human-trial precedent; requires genome AMR/virulence confirmation before use,True,0,0,2,2,0,propionate_producer; mucin_interaction,,"mucin-degradation -> propionate, barrier (Akkermansia-type, favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Paraprevotella_xylaniphila,Paraprevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0041,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900683745.1,Complete Genome,Paraprevotella xylaniphila YIT 11841,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Phascolarctobacterium_succinatutens,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0021,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_023497905.1,Chromosome,Phascolarctobacterium succinatutens,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Ruminococcus_callidus,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0017,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_049562855.1,Complete Genome,Ruminococcus callidus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,1,0,mucin_interaction,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Megamonas_hypermegale,Megamonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0015,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_900187035.1,Complete Genome,Megamonas hypermegale,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Asaccharobacter_celatus,Asaccharobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0004,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCA_016865385.1,Complete Genome,Adlercreutzia equolifaciens subsp. celatus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Streptococcus_thermophilus,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0179,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review,GCF_903886475.1,Complete Genome,Streptococcus thermophilus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),4,0
