combination_id,strains,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,validation_priority,recommended_prebiotic,notes
CMB3TO5_039,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_IDCC4301; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.56,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_040,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_IDCC4301; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.56,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_041,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_B420,3-strain evidence-derived combination; PMIDs 27810310; 37447365,,27810310; 37447365,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,8.0,9.74,9.74,8.14,8.53,acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_042,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_B420,3-strain evidence-derived combination; PMIDs 27810310; 37447365,,27810310; 37447365,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,8.0,9.74,9.74,8.14,8.53,acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_043,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_B420,3-strain evidence-derived combination; PMIDs 27810310; 37447365,,27810310; 37447365,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,8.0,9.74,9.74,8.14,8.53,acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_044,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_BB536; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,8.85,8.85,7.25,8.51,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_045,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium longum BB536; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_BB536; BL_B420,4-strain evidence-derived combination; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,10.0,8.83,8.83,7.23,8.51,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_046,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_BB536; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,8.85,8.85,7.25,8.51,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_047,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_BB536; BL_B420,4-strain evidence-derived combination; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,10.0,8.83,8.83,7.23,8.51,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_048,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_BB536; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,8.85,8.85,7.25,8.51,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_049,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_BB536; BL_B420,4-strain evidence-derived combination; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,10.0,8.83,8.83,7.23,8.51,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_050,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_MCC1274; BB_BBr60,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,10.0,8.48,8.48,7.68,8.51,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
